<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GDAX.BTC-USD;D;20201006;000000;10602.6600000
GDAX.BTC-USD;D;20201007;000000;10670.4700000
GDAX.BTC-USD;D;20201008;000000;10933.0900000
GDAX.BTC-USD;D;20201009;000000;11057.0700000
GDAX.BTC-USD;D;20201010;000000;11299.5000000
GDAX.BTC-USD;D;20201011;000000;11374.0100000
GDAX.BTC-USD;D;20201012;000000;11535.4600000
GDAX.BTC-USD;D;20201013;000000;11428.2200000
GDAX.BTC-USD;D;20201014;000000;11427.7000000
GDAX.BTC-USD;D;20201015;000000;11509.3400000
GDAX.BTC-USD;D;20201016;000000;11328.9500000
GDAX.BTC-USD;D;20201017;000000;11367.8900000
GDAX.BTC-USD;D;20201018;000000;11514.2000000
GDAX.BTC-USD;D;20201019;000000;11760.4500000
GDAX.BTC-USD;D;20201020;000000;11923.8300000
GDAX.BTC-USD;D;20201021;000000;12808.0000000
GDAX.BTC-USD;D;20201022;000000;12987.0200000
GDAX.BTC-USD;D;20201023;000000;12937.0900000
GDAX.BTC-USD;D;20201024;000000;13126.2400000
GDAX.BTC-USD;D;20201025;000000;13045.0000000
GDAX.BTC-USD;D;20201026;000000;13068.7900000
GDAX.BTC-USD;D;20201027;000000;13698.1800000
GDAX.BTC-USD;D;20201028;000000;13281.0500000
GDAX.BTC-USD;D;20201029;000000;13460.0000000
GDAX.BTC-USD;D;20201030;000000;13571.5100000
GDAX.BTC-USD;D;20201031;000000;13804.8100000
GDAX.BTC-USD;D;20201101;000000;13771.5900000
GDAX.BTC-USD;D;20201102;000000;13563.2200000
GDAX.BTC-USD;D;20201103;000000;14035.8000000
GDAX.BTC-USD;D;20201104;000000;14161.4800000
GDAX.BTC-USD;D;20201105;000000;15608.2100000
GDAX.BTC-USD;D;20201106;000000;15599.9500000
GDAX.BTC-USD;D;20201107;000000;14834.0900000
GDAX.BTC-USD;D;20201108;000000;15482.9000000
GDAX.BTC-USD;D;20201109;000000;15342.2500000
GDAX.BTC-USD;D;20201110;000000;15315.0300000
GDAX.BTC-USD;D;20201111;000000;15705.7900000
GDAX.BTC-USD;D;20201112;000000;16310.8100000
GDAX.BTC-USD;D;20201113;000000;16339.5600000
GDAX.BTC-USD;D;20201114;000000;16082.0100000
GDAX.BTC-USD;D;20201115;000000;15966.8900000
GDAX.BTC-USD;D;20201116;000000;16726.6400000
GDAX.BTC-USD;D;20201117;000000;17679.3600000
GDAX.BTC-USD;D;20201118;000000;17782.9100000
GDAX.BTC-USD;D;20201119;000000;17821.5800000
GDAX.BTC-USD;D;20201120;000000;18675.2500000
GDAX.BTC-USD;D;20201121;000000;18721.2100000
GDAX.BTC-USD;D;20201122;000000;18437.6600000
GDAX.BTC-USD;D;20201123;000000;18384.8200000
GDAX.BTC-USD;D;20201124;000000;19172.8400000
GDAX.BTC-USD;D;20201125;000000;18721.9300000
GDAX.BTC-USD;D;20201126;000000;17170.0000000
GDAX.BTC-USD;D;20201127;000000;17153.9500000
GDAX.BTC-USD;D;20201128;000000;17739.8500000
GDAX.BTC-USD;D;20201129;000000;18202.0400000
GDAX.BTC-USD;D;20201130;000000;19713.9400000
GDAX.BTC-USD;D;20201201;000000;18782.9700000
GDAX.BTC-USD;D;20201202;000000;19225.6300000
GDAX.BTC-USD;D;20201203;000000;19448.6400000
GDAX.BTC-USD;D;20201204;000000;18658.1000000
GDAX.BTC-USD;D;20201205;000000;19158.9600000
GDAX.BTC-USD;D;20201206;000000;19375.6000000
GDAX.BTC-USD;D;20201207;000000;19177.7100000
